tid,DeepDTA,Denvis-G,Denvis-R,DrugCLIP,GNINA,GenScore,Glide SP,LigUnity,LigUnity(seq),Pocket-DTA,Sequece-DTA
ADRB2,0.0,25.0,0.0,11.761618823529412,0.0,17.6470588235294,5.88235294117647,17.64242823529412,11.761618823529412,11.761618823529412,0.0
ALDH1,1.42,1.38,1.2,1.2138654758582192,1.88,1.98011267555834,2.02194604194337,2.190538847238396,1.6463922546122975,0.8231961273061488,0.9906258481141791
ESR1_AGO,0.0,8.33,8.33,15.370879120879122,15.38,7.68681318681318,7.68681318681318,23.05631868131868,23.05631868131868,0.0,7.685439560439561
ESR1_ANT,0.0,0.99,0.0,3.8823529411764706,5.88,2.58874791746764,1.94156093810073,3.8823529411764706,2.911764705882353,3.8823529411764706,1.9411764705882353
FEN1,0.27,3.26,3.53,0.8129578456313099,1.9,6.68418866500825,7.31647678196849,5.961690867962939,4.877747073787859,5.148733022331629,3.2518313825252396
GBA,4.22,3.03,1.21,4.215970264034863,9.04,2.81046697759651,4.21570046639477,5.420533196616252,4.215970264034863,6.625096129197641,6.625096129197641
IDH1,5.13,0.0,5.26,5.128162629267602,12.82,5.1280351794022,0.0,0.0,0.0,0.0,0.0
KAT2A,1.03,0.52,1.55,0.5153249625264975,1.55,0.858963673192718,1.03075640783126,1.5459748875794928,2.06129985010599,1.030649925052995,0.5153249625264975
MAPK1,0.65,3.58,2.28,2.917803976627506,1.62,4.86525974025974,3.24350649350649,3.2420044184750063,1.2968017673900027,4.214605744017509,3.8904053021700076
MTORC1,1.03,1.04,1.04,1.0299623135141869,1.03,0.0,0.0,3.089886940542561,2.0599246270283738,2.0599246270283738,1.0299623135141869
OPRK1,4.17,0.0,4.35,4.166187916975537,8.33,1.38858013255938,0.0,8.332375833951074,8.332375833951074,8.332375833951074,8.332375833951074
PKM2,0.55,0.55,0.55,0.5492339842197623,0.55,1.28188978839121,2.74690668940973,0.36615598947984157,0.0,1.0984679684395247,0.5492339842197623
PPARG,0.0,11.54,0.0,29.277428371767996,7.41,21.9622641509433,21.9622641509433,32.937106918238996,29.277428371767996,10.979035639412997,3.6596785464709995
TP53,2.53,1.28,0.0,0.0,1.27,1.25022078304386,2.50044156608772,0.0,0.0,1.250220783043862,1.250220783043862
VDR,1.02,4.42,2.83,2.3804376888318495,0.79,1.01801953968832,0.339339846562775,2.720500215807828,1.8136668105385518,1.360250107903914,1.7003126348798925
